ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
10011,A,Flight,5,5,105.0,4,low,M,6.0,5135.0,1
10012,B,Flight,4,2,253.0,2,low,F,4.0,4502.0,1
10013,C,Flight,3,1,263.0,3,medium,M,4.0,4616.0,0
10014,F,Flight,4,1,266.0,3,low,M,10.0,4382.0,0
10015,D,Flight,3,3,185.0,2,low,M,4.0,4746.0,0
10016,F,Flight,3,4,245.0,2,medium,F,1.0,4427.0,0
10017,A,Flight,3,5,184.0,3,medium,F,9.0,4969.0,0
10018,B,Flight,5,4,235.0,3,medium,F,8.0,4636.0,0
10019,C,Ship,3,2,247.0,3,medium,M,8.0,5194.0,0
10020,F,Ship,4,4,145.0,2,medium,M,9.0,5070.0,0
10021,D,Ship,3,3,158.0,2,low,F,4.0,5960.0,0
10022,F,Ship,4,5,268.0,2,low,M,2.0,4721.0,1
10023,A,Ship,3,1,186.0,3,medium,F,4.0,5515.0,1
10024,B,Ship,2,3,226.0,3,medium,M,8.0,5106.0,1
10025,C,Ship,5,1,258.0,3,medium,M,7.0,4466.0,1
10026,F,Ship,3,4,189.0,3,high,M,2.0,5464.0,0
10027,D,Ship,5,3,255.0,4,medium,F,4.0,4178.0,1
10028,F,Ship,5,5,207.0,4,low,F,1.0,5035.0,0
10029,A,Ship,3,5,271.0,3,low,M,2.0,5229.0,1
10030,B,Ship,3,4,239.0,4,medium,F,10.0,5455.0,1
10031,C,Ship,4,4,186.0,3,low,F,8.0,4969.0,1
10032,F,Ship,4,1,139.0,3,medium,F,7.0,4275.0,0
10033,D,Ship,3,3,224.0,6,medium,M,10.0,4221.0,0
10034,F,Ship,4,2,198.0,2,high,M,2.0,5662.0,0
10035,A,Ship,4,4,102.0,3,high,F,9.0,5644.0,1
10036,B,Ship,3,3,219.0,3,high,M,5.0,4321.0,0
10037,C,Ship,4,5,240.0,5,medium,M,8.0,4314.0,0
10038,F,Ship,3,2,222.0,2,medium,M,1.0,4021.0,1
10039,D,Ship,2,2,221.0,2,medium,F,3.0,4500.0,1
10040,F,Ship,5,3,229.0,2,medium,F,1.0,5294.0,1
10041,A,Ship,5,2,146.0,3,low,F,5.0,4725.0,0
10042,B,Ship,3,3,165.0,2,low,M,1.0,5661.0,0
10043,C,Ship,4,4,200.0,3,low,F,7.0,5807.0,1
10044,F,Ship,4,2,232.0,2,low,M,5.0,4907.0,0
10045,D,Ship,5,5,240.0,2,low,F,2.0,5655.0,0
10046,F,Ship,5,4,240.0,4,medium,M,7.0,4552.0,1
10047,A,Ship,3,2,187.0,3,medium,F,7.0,5334.0,0
10048,B,Ship,5,4,239.0,3,low,F,7.0,4960.0,0
10049,C,Ship,3,1,171.0,4,medium,F,6.0,5398.0,0
10050,F,Ship,4,2,239.0,4,medium,M,8.0,4039.0,0
10051,D,Ship,4,2,166.0,5,low,M,8.0,4493.0,0
10052,F,Ship,6,1,113.0,2,medium,F,7.0,5234.0,1
10053,A,Ship,4,3,104.0,5,low,F,6.0,4617.0,1
10054,B,Ship,3,4,270.0,3,medium,F,10.0,5417.0,0
10055,C,Ship,5,1,145.0,2,medium,M,8.0,4485.0,1
10056,F,Ship,3,5,171.0,3,medium,M,5.0,4075.0,1
10057,D,Ship,4,5,160.0,3,low,F,9.0,5799.0,1
10058,F,Ship,4,2,210.0,2,medium,F,1.0,5437.0,1
10059,A,Ship,4,1,256.0,4,medium,F,3.0,5324.0,0
10060,B,Ship,4,5,155.0,3,low,F,10.0,5315.0,1
10061,C,Ship,5,1,126.0,5,medium,F,2.0,5659.0,1
10062,F,Ship,3,1,189.0,3,low,M,1.0,4886.0,0
10063,D,Ship,4,1,206.0,3,high,M,2.0,5013.0,1
10064,F,Ship,4,3,242.0,2,medium,M,2.0,5879.0,0
10065,A,Ship,3,1,258.0,2,low,F,4.0,5262.0,0
10066,B,Ship,4,4,196.0,4,low,F,10.0,4871.0,1
10067,C,Ship,3,3,209.0,3,low,M,1.0,5186.0,0
10068,F,Ship,4,4,259.0,2,low,M,6.0,4308.0,1
10069,D,Ship,2,1,140.0,2,medium,F,8.0,4965.0,0
10070,F,Ship,5,3,141.0,2,medium,F,10.0,4651.0,0
10071,A,Ship,3,1,160.0,2,medium,M,5.0,4435.0,1
10072,B,Ship,5,4,208.0,4,medium,F,8.0,4116.0,0
10073,C,Ship,3,4,198.0,3,low,F,3.0,5322.0,0
10074,F,Ship,4,4,264.0,3,low,M,6.0,5959.0,1
10075,D,Ship,4,3,136.0,4,low,M,10.0,5911.0,0
10076,F,Ship,4,4,221.0,4,low,F,2.0,5595.0,1
10077,A,Ship,5,3,242.0,3,low,F,10.0,4889.0,1
10078,B,Ship,4,2,162.0,3,low,M,7.0,5614.0,0
10079,C,Ship,4,5,258.0,3,low,F,3.0,5422.0,1
10080,F,Ship,5,3,172.0,3,medium,F,3.0,4056.0,0
10081,D,Ship,4,4,222.0,4,medium,M,6.0,4733.0,0
10082,F,Ship,3,2,215.0,2,low,F,7.0,4305.0,0
10083,A,Ship,3,4,164.0,2,low,M,1.0,4067.0,1
10084,B,Ship,5,1,233.0,3,low,F,6.0,5560.0,0
10085,C,Ship,4,4,249.0,3,medium,F,1.0,5743.0,0
10086,F,Ship,4,5,217.0,3,low,F,3.0,5380.0,1
10087,D,Ship,4,3,260.0,3,low,M,1.0,4796.0,0
10088,F,Ship,4,1,219.0,2,medium,M,6.0,5314.0,0
10089,A,Ship,4,1,267.0,4,medium,M,2.0,4024.0,0
10090,B,Ship,5,3,137.0,4,low,F,9.0,4754.0,0
10091,C,Ship,4,5,141.0,2,low,M,1.0,4395.0,1
10092,F,Ship,4,2,201.0,2,medium,M,6.0,5729.0,0
10093,D,Ship,5,1,125.0,4,medium,M,3.0,5595.0,0
10094,F,Ship,3,1,173.0,2,medium,F,1.0,5927.0,1
10095,A,Ship,3,5,271.0,2,medium,F,6.0,4020.0,1
10096,B,Ship,4,5,243.0,3,low,M,9.0,5263.0,0
10097,C,Ship,5,1,151.0,3,low,F,9.0,4895.0,0
10098,F,Ship,4,4,224.0,4,medium,F,2.0,4503.0,1
10099,D,Ship,3,2,141.0,3,low,M,7.0,4682.0,0
10100,F,Ship,3,2,133.0,3,medium,M,10.0,5803.0,0
10101,A,Ship,3,2,239.0,3,low,M,4.0,5628.0,1
10102,B,Ship,4,3,203.0,2,low,M,8.0,5597.0,0
10103,C,Ship,4,2,220.0,3,low,F,9.0,5896.0,0
10104,F,Ship,4,3,212.0,2,low,M,8.0,5513.0,0
10105,D,Ship,2,4,252.0,4,medium,M,4.0,4787.0,0
10106,F,Ship,5,5,265.0,3,low,M,3.0,5637.0,0
10107,A,Ship,4,2,199.0,3,low,M,7.0,5342.0,0
10108,B,Ship,3,5,209.0,3,high,F,4.0,5413.0,0
10109,C,Ship,4,5,254.0,3,low,F,7.0,4363.0,0
10110,F,Ship,2,3,216.0,3,high,M,9.0,4032.0,1
10111,D,Ship,5,4,196.0,2,medium,M,2.0,5515.0,0
10112,F,Road,4,4,258.0,3,high,M,2.0,5420.0,0
10113,A,Road,3,3,137.0,3,high,M,7.0,5794.0,1
10114,B,Road,6,5,282.0,4,low,M,10.0,4901.0,0
10115,C,Road,3,2,156.0,2,medium,M,10.0,4276.0,0
10116,F,Road,4,5,237.0,5,medium,M,4.0,4917.0,0
10117,D,Road,4,5,170.0,3,medium,M,3.0,4695.0,1
10118,F,Road,4,1,243.0,3,high,F,9.0,4277.0,0
10119,A,Road,4,5,163.0,3,medium,F,2.0,4887.0,0
10120,B,Road,3,4,257.0,3,low,F,4.0,4883.0,0
10121,C,Road,5,4,179.0,6,medium,M,1.0,5433.0,0
10122,F,Road,3,3,274.0,4,medium,F,7.0,4828.0,0
10123,D,Road,3,4,174.0,2,low,F,4.0,4295.0,1
10124,F,Road,4,2,162.0,6,low,F,4.0,4094.0,0
10125,A,Road,6,2,269.0,6,medium,M,4.0,4423.0,0
10126,B,Road,4,1,147.0,2,low,M,8.0,4600.0,1
10127,C,Road,6,4,286.0,4,medium,F,5.0,4262.0,0
10128,F,Road,2,5,271.0,3,low,F,6.0,5471.0,1
10129,D,Road,5,2,130.0,4,high,M,4.0,4371.0,0
10130,F,Road,4,5,258.0,2,medium,F,2.0,4303.0,1
10131,A,Road,5,1,151.0,3,medium,F,1.0,4981.0,0
10132,B,Road,5,4,208.0,8,medium,F,4.0,5155.0,1
10133,C,Road,6,2,137.0,10,low,F,5.0,4510.0,0
10134,F,Flight,3,1,250.0,3,medium,F,8.0,5509.0,0
10135,D,Flight,4,5,211.0,2,low,F,4.0,4106.0,1
10136,F,Flight,4,1,196.0,3,medium,F,9.0,5216.0,1
10137,A,Flight,3,4,174.0,3,low,F,3.0,5366.0,1
10138,B,Flight,6,5,277.0,4,medium,F,5.0,1845.0,1
10139,C,Flight,6,2,284.0,4,low,F,7.0,1181.0,1
10140,F,Flight,4,5,258.0,5,low,M,3.0,1162.0,0
10141,D,Flight,7,1,254.0,4,low,M,9.0,1876.0,0
10142,F,Flight,5,5,263.0,5,medium,M,10.0,1789.0,1
10143,A,Flight,6,5,267.0,4,low,M,3.0,1550.0,0
10144,B,Flight,6,4,247.0,4,medium,M,2.0,1858.0,1
10145,C,Flight,5,1,233.0,5,medium,M,4.0,1622.0,0
10146,F,Flight,7,5,254.0,4,medium,F,6.0,1014.0,0
10147,D,Flight,6,3,289.0,5,medium,F,1.0,1949.0,1
10148,F,Flight,6,2,282.0,4,medium,F,9.0,1385.0,0
10149,A,Flight,5,3,243.0,6,medium,F,10.0,1189.0,1
10150,B,Flight,5,1,243.0,5,medium,M,8.0,1732.0,0
10151,C,Flight,4,5,228.0,5,low,M,2.0,1996.0,0
10152,F,Flight,5,4,235.0,5,low,F,8.0,1549.0,0
10153,D,Flight,4,1,274.0,6,low,M,8.0,1141.0,1
10154,F,Flight,6,3,254.0,5,medium,F,7.0,1615.0,1
10155,A,Flight,4,4,237.0,5,medium,F,6.0,4586.0,0
10156,B,Ship,4,4,170.0,3,medium,M,4.0,4062.0,0
10157,C,Ship,4,4,243.0,3,high,F,4.0,5082.0,1
10158,F,Ship,4,5,163.0,3,medium,M,1.0,4049.0,1
10159,D,Ship,3,3,257.0,3,low,M,5.0,4937.0,1
10160,F,Ship,5,3,179.0,6,medium,M,1.0,4930.0,1
10161,A,Ship,3,1,274.0,4,medium,M,4.0,4057.0,0
10162,B,Ship,3,4,174.0,2,low,M,7.0,4596.0,0
10163,C,Ship,4,1,162.0,6,low,M,1.0,5525.0,1
10164,F,Ship,6,1,269.0,6,medium,F,2.0,5363.0,0
10165,D,Ship,4,3,147.0,2,low,M,2.0,5431.0,0
10166,F,Ship,6,5,286.0,4,medium,F,4.0,4889.0,0
10167,A,Ship,2,5,271.0,3,low,M,9.0,4185.0,0
10168,B,Ship,5,1,130.0,4,high,F,9.0,4946.0,1
10169,C,Ship,4,4,258.0,2,medium,F,5.0,4562.0,0
10170,F,Ship,5,5,151.0,3,medium,M,2.0,5506.0,0
10171,D,Ship,5,2,208.0,8,medium,M,5.0,4751.0,0
10172,F,Ship,6,2,137.0,10,low,F,4.0,4490.0,0
10173,A,Ship,3,2,250.0,3,medium,M,6.0,4636.0,0
10174,B,Ship,4,3,211.0,2,low,F,6.0,5473.0,1
10175,C,Ship,4,4,196.0,3,medium,F,2.0,4320.0,1
10176,F,Ship,3,2,174.0,3,low,F,3.0,5207.0,1
10177,D,Ship,6,3,277.0,4,medium,F,6.0,1433.0,0
10178,F,Ship,6,3,284.0,4,low,F,3.0,1291.0,0
10179,A,Ship,4,4,258.0,5,low,M,9.0,1947.0,1
10180,B,Ship,7,2,254.0,4,low,M,6.0,1006.0,0
10181,C,Ship,5,5,263.0,5,medium,M,2.0,1417.0,0
10182,F,Ship,6,1,267.0,4,low,M,9.0,1146.0,1
10183,D,Ship,6,2,247.0,4,medium,M,3.0,1118.0,0
10184,F,Ship,5,3,233.0,5,medium,F,3.0,1398.0,0
10185,A,Ship,7,5,254.0,4,medium,F,1.0,1347.0,0
10186,B,Ship,6,2,289.0,5,medium,F,10.0,1607.0,1
10187,C,Ship,6,3,282.0,4,medium,F,8.0,1375.0,0
10188,F,Ship,5,2,243.0,6,medium,M,7.0,1752.0,0
10189,D,Ship,5,4,243.0,5,medium,F,4.0,1813.0,0
10190,F,Ship,4,1,228.0,5,low,F,6.0,1874.0,0
10191,A,Ship,5,5,235.0,5,low,M,8.0,1332.0,1
10192,B,Ship,7,3,306.0,4,low,F,4.0,1630.0,0
10193,C,Ship,6,1,189.0,2,low,F,6.0,1269.0,0
10194,F,Ship,6,4,280.0,4,low,M,4.0,1831.0,1
10195,D,Ship,6,4,310.0,4,medium,M,1.0,1494.0,1
10196,F,Ship,4,3,264.0,6,medium,F,10.0,1962.0,1
10197,A,Ship,5,5,243.0,6,low,M,9.0,1348.0,0
10198,B,Ship,5,5,245.0,5,low,M,5.0,1252.0,0
10199,C,Ship,5,5,239.0,6,low,M,1.0,1384.0,0
10200,F,Ship,4,3,248.0,5,low,F,7.0,1789.0,1
10201,D,Ship,6,1,268.0,4,low,F,1.0,1654.0,1
10202,F,Ship,6,4,271.0,4,low,F,6.0,1503.0,0
10203,A,Ship,4,5,233.0,5,low,F,8.0,1040.0,1
10204,B,Ship,5,1,245.0,5,low,M,9.0,1694.0,1
10205,C,Ship,5,2,248.0,5,medium,F,1.0,1845.0,1
10206,F,Ship,5,2,234.0,5,medium,M,6.0,1703.0,0
10207,D,Ship,4,2,259.0,5,medium,F,2.0,1054.0,0
10208,F,Ship,5,1,259.0,6,low,F,2.0,1876.0,0
10209,A,Ship,5,2,263.0,6,low,M,2.0,1851.0,0
10210,B,Ship,3,1,158.0,5,low,M,4.0,1171.0,1
10211,C,Ship,5,5,270.0,5,low,M,5.0,1852.0,1
10212,F,Ship,4,3,271.0,5,low,M,6.0,1555.0,1
10213,D,Ship,5,5,237.0,5,medium,F,9.0,1709.0,0
10214,F,Ship,6,1,250.0,4,medium,M,5.0,1747.0,0
10215,A,Ship,4,2,270.0,5,low,F,10.0,1340.0,0
10216,B,Ship,4,5,242.0,6,low,F,9.0,1858.0,0
10217,C,Ship,5,1,271.0,5,low,F,4.0,1557.0,1
10218,F,Ship,4,3,254.0,5,low,F,8.0,1851.0,0
10219,D,Ship,5,3,274.0,5,medium,M,7.0,1696.0,1
10220,F,Ship,4,3,249.0,5,low,F,10.0,1067.0,1
10221,A,Ship,4,3,245.0,5,low,M,7.0,1182.0,0
10222,B,Ship,4,5,237.0,5,low,F,9.0,1978.0,1
10223,C,Ship,4,3,238.0,6,low,M,2.0,1898.0,0
10224,F,Ship,5,3,242.0,5,low,F,6.0,1681.0,0
10225,D,Ship,5,5,217.0,6,medium,M,1.0,1761.0,0
10226,F,Ship,4,2,242.0,6,low,F,10.0,1531.0,1
10227,A,Ship,6,1,265.0,4,low,F,1.0,1345.0,1
10228,B,Ship,3,4,267.0,3,low,F,3.0,4566.0,0
10229,C,Ship,3,1,238.0,2,low,M,9.0,5158.0,0
10230,F,Ship,5,3,284.0,5,medium,F,4.0,5343.0,1
10231,D,Ship,4,3,137.0,3,medium,M,5.0,4854.0,1
10232,F,Ship,2,1,232.0,6,low,F,2.0,5281.0,1
10233,A,Ship,3,3,262.0,2,low,F,10.0,5951.0,1
10234,B,Ship,5,1,158.0,2,medium,M,6.0,4873.0,0
10235,C,Ship,5,5,226.0,4,low,F,10.0,5676.0,1
10236,F,Ship,4,3,199.0,2,low,M,4.0,5855.0,0
10237,D,Ship,4,4,175.0,2,medium,F,10.0,4927.0,0
10238,F,Ship,5,1,233.0,3,low,F,9.0,5039.0,0
10239,A,Ship,2,5,111.0,2,low,F,5.0,4038.0,1
10240,B,Ship,5,2,218.0,3,low,M,4.0,5363.0,1
10241,C,Ship,5,1,189.0,4,low,F,10.0,4166.0,1
10242,F,Ship,4,3,257.0,3,low,M,8.0,5944.0,0
10243,D,Ship,4,2,160.0,3,low,M,5.0,4492.0,0
10244,F,Ship,3,3,197.0,3,low,F,4.0,4858.0,1
10245,A,Ship,3,5,283.0,2,low,M,2.0,4207.0,0
10246,B,Ship,5,5,197.0,4,low,F,7.0,4141.0,1
10247,C,Ship,3,1,259.0,4,low,F,9.0,4084.0,1
10248,F,Ship,4,3,195.0,3,medium,M,5.0,5863.0,0
10249,D,Road,3,1,159.0,2,medium,M,5.0,4906.0,1
10250,F,Road,3,1,267.0,3,medium,F,8.0,5415.0,1
10251,A,Road,5,2,155.0,3,low,F,10.0,4485.0,1
10252,B,Road,3,1,267.0,2,low,F,9.0,5744.0,0
10253,C,Road,4,1,239.0,3,medium,F,9.0,4930.0,1
10254,F,Road,3,1,263.0,3,high,M,10.0,4911.0,0
10255,D,Road,3,5,217.0,3,medium,M,3.0,5433.0,0
10256,F,Road,4,3,173.0,3,low,M,4.0,4793.0,1
10257,A,Road,2,2,163.0,3,low,M,5.0,5887.0,0
10258,B,Road,5,5,232.0,5,low,F,2.0,5561.0,0
10259,C,Road,3,3,155.0,3,medium,M,5.0,4957.0,1
10260,F,Road,3,4,160.0,4,low,M,1.0,5341.0,0
10261,D,Road,5,4,200.0,3,medium,M,3.0,4225.0,0
10262,F,Road,4,1,160.0,2,medium,M,1.0,5741.0,1
10263,A,Road,3,3,220.0,3,low,M,7.0,5323.0,1
10264,B,Road,3,3,160.0,2,medium,F,3.0,4665.0,0
10265,C,Road,3,4,136.0,3,low,F,4.0,5368.0,0
10266,F,Road,5,1,252.0,3,high,F,2.0,5032.0,0
10267,D,Road,3,4,138.0,5,medium,F,5.0,5690.0,0
10268,F,Road,4,4,173.0,3,low,M,10.0,4616.0,0
10269,A,Road,4,5,198.0,3,low,M,2.0,4272.0,0
10270,B,Road,4,1,194.0,2,medium,F,3.0,5503.0,0
10271,C,Flight,4,5,157.0,3,medium,M,10.0,5898.0,1
10272,F,Flight,3,3,220.0,3,low,F,2.0,5065.0,1
10273,D,Flight,4,4,160.0,3,medium,M,5.0,4440.0,0
10274,F,Flight,3,4,214.0,2,low,M,7.0,5256.0,1
10275,A,Flight,5,5,213.0,3,medium,M,5.0,5247.0,0
10276,B,Flight,3,5,146.0,3,medium,M,8.0,5637.0,1
10277,C,Flight,4,3,176.0,5,low,M,2.0,5751.0,1
10278,F,Flight,3,2,219.0,4,low,F,6.0,4314.0,1
10279,D,Flight,4,3,164.0,3,medium,F,4.0,4495.0,0
10280,F,Flight,3,4,168.0,2,medium,F,7.0,4699.0,1
10281,A,Flight,5,3,167.0,3,low,M,9.0,5026.0,0
10282,B,Flight,3,2,152.0,3,medium,F,7.0,4244.0,0
10283,C,Flight,5,4,248.0,3,low,M,7.0,5335.0,1
10284,F,Flight,3,5,177.0,2,low,F,2.0,4906.0,1
10285,D,Flight,4,4,148.0,3,low,M,4.0,5716.0,1
10286,F,Flight,4,2,107.0,2,low,F,8.0,4460.0,0
10287,A,Flight,6,2,196.0,2,low,M,10.0,5180.0,1
10288,B,Flight,3,3,215.0,2,low,F,2.0,5661.0,0
10289,C,Flight,4,5,260.0,3,low,M,10.0,4331.0,0
10290,F,Flight,5,5,156.0,2,low,F,8.0,4817.0,0
10291,D,Flight,4,1,266.0,2,high,M,4.0,5116.0,0
10292,F,Flight,4,1,146.0,3,low,F,1.0,4831.0,1
10293,A,Ship,4,2,210.0,3,medium,F,10.0,5354.0,0
10294,B,Ship,2,4,144.0,2,medium,M,5.0,5867.0,0
10295,C,Ship,3,5,181.0,4,low,F,1.0,5812.0,0
10296,F,Ship,5,5,132.0,4,low,F,8.0,4339.0,1
10297,D,Ship,5,3,243.0,6,medium,F,9.0,5640.0,0
10298,F,Ship,4,3,166.0,4,medium,F,1.0,4536.0,0
10299,A,Ship,5,5,148.0,4,medium,F,4.0,5909.0,0
10300,B,Ship,6,4,221.0,5,low,M,9.0,4360.0,0
10301,C,Ship,4,2,207.0,3,medium,F,5.0,4702.0,1
10302,F,Ship,4,1,228.0,3,medium,M,4.0,5347.0,1
10303,D,Ship,3,2,161.0,3,medium,M,2.0,4174.0,1
10304,F,Ship,4,2,259.0,2,high,F,10.0,5265.0,0
10305,A,Ship,4,5,272.0,2,low,F,10.0,4962.0,0
10306,B,Ship,4,4,154.0,3,low,M,4.0,5393.0,1
10307,C,Ship,4,2,174.0,3,low,M,4.0,5625.0,0
10308,F,Ship,4,2,225.0,2,medium,F,5.0,5943.0,0
10309,D,Ship,3,5,209.0,3,medium,M,8.0,5591.0,0
10310,F,Ship,6,1,208.0,5,low,M,6.0,4537.0,0
10311,A,Ship,4,4,163.0,3,low,M,8.0,4921.0,1
10312,B,Ship,3,5,174.0,3,low,M,7.0,5672.0,1
10313,C,Ship,3,5,236.0,3,medium,F,1.0,5220.0,0
10314,F,Ship,3,2,229.0,6,medium,F,3.0,5689.0,1
10315,D,Ship,3,4,195.0,2,low,F,5.0,4660.0,1
10316,F,Ship,4,2,146.0,3,low,F,9.0,5871.0,1
10317,A,Ship,3,2,211.0,2,low,M,4.0,4978.0,1
10318,B,Ship,2,2,161.0,3,low,F,5.0,5999.0,1
10319,C,Ship,2,5,243.0,3,medium,F,9.0,4182.0,0
10320,F,Ship,3,3,169.0,2,medium,F,8.0,4281.0,1
10321,D,Ship,3,4,273.0,3,high,F,8.0,4530.0,1
10322,F,Ship,4,2,137.0,2,medium,M,3.0,4622.0,1
10323,A,Ship,2,1,96.0,2,high,F,9.0,4449.0,1
10324,B,Ship,5,5,177.0,4,medium,F,2.0,4873.0,0
10325,C,Ship,4,1,269.0,3,low,F,7.0,5211.0,1
10326,F,Ship,3,2,188.0,5,medium,M,7.0,5673.0,0
10327,D,Ship,4,1,238.0,3,low,F,10.0,4172.0,0
10328,F,Ship,5,2,172.0,5,medium,F,5.0,4805.0,0
10329,A,Ship,4,4,134.0,5,medium,M,2.0,5865.0,1
10330,B,Ship,4,2,191.0,2,medium,F,8.0,4806.0,1
10331,C,Ship,5,3,210.0,6,low,M,6.0,4203.0,1
10332,F,Ship,4,5,161.0,3,medium,F,2.0,5378.0,0
10333,D,Ship,5,4,161.0,5,medium,M,1.0,5779.0,1
10334,F,Ship,4,1,166.0,5,low,F,9.0,4472.0,0
10335,A,Ship,4,3,170.0,4,medium,F,9.0,4375.0,0
10336,B,Ship,3,1,251.0,3,medium,F,4.0,5291.0,0
10337,C,Ship,3,3,214.0,3,medium,M,3.0,4056.0,1
10338,F,Ship,4,3,197.0,3,medium,F,6.0,5395.0,0
10339,D,Ship,3,3,227.0,2,high,M,5.0,4269.0,1
10340,F,Ship,4,5,265.0,2,low,F,6.0,4660.0,1
10341,A,Ship,6,5,287.0,5,low,M,2.0,5611.0,1
10342,B,Ship,3,5,206.0,2,low,M,3.0,5113.0,1
10343,C,Ship,4,2,192.0,3,low,F,4.0,5578.0,1
10344,F,Ship,2,1,109.0,4,low,F,3.0,5264.0,1
10345,D,Ship,4,3,180.0,2,medium,M,7.0,5546.0,1
10346,F,Ship,3,2,224.0,3,medium,M,2.0,4015.0,0
10347,A,Ship,3,2,259.0,6,medium,M,1.0,5873.0,0
10348,B,Ship,3,4,269.0,3,medium,M,8.0,5364.0,1
10349,C,Ship,5,4,187.0,4,medium,F,1.0,4147.0,0
10350,F,Ship,4,4,185.0,3,low,F,2.0,5288.0,1
10351,D,Ship,5,2,241.0,2,medium,F,2.0,5448.0,0
10352,F,Ship,2,5,228.0,3,low,M,8.0,5643.0,1
10353,A,Ship,3,2,214.0,2,medium,F,9.0,4512.0,0
10354,B,Ship,3,2,196.0,6,low,M,6.0,5414.0,0
10355,C,Ship,3,1,175.0,3,low,M,6.0,4695.0,0
10356,F,Ship,3,5,171.0,3,medium,F,7.0,5318.0,1
10357,D,Ship,4,2,185.0,2,medium,M,5.0,4066.0,0
10358,F,Ship,2,4,226.0,3,low,M,9.0,4098.0,1
10359,A,Ship,4,1,265.0,3,low,F,4.0,4249.0,0
10360,B,Ship,4,4,205.0,4,medium,F,2.0,4690.0,1
10361,C,Ship,4,3,189.0,3,medium,F,9.0,4825.0,0
10362,F,Ship,3,4,141.0,3,medium,M,2.0,5512.0,0
10363,D,Ship,3,3,217.0,3,low,F,6.0,4887.0,0
10364,F,Ship,4,2,198.0,3,low,F,4.0,5863.0,0
10365,A,Ship,4,4,246.0,3,medium,F,2.0,4150.0,0
10366,B,Ship,3,4,261.0,4,medium,F,7.0,5731.0,0
10367,C,Ship,4,3,160.0,2,low,M,9.0,5940.0,0
10368,F,Ship,5,5,135.0,3,low,F,4.0,5734.0,0
10369,D,Ship,5,2,213.0,3,low,M,9.0,5526.0,0
10370,F,Ship,3,4,189.0,6,low,F,9.0,4668.0,1
10371,A,Ship,4,1,259.0,3,low,M,9.0,5148.0,1
10372,B,Ship,4,5,170.0,3,low,M,2.0,5671.0,0
10373,C,Ship,3,3,257.0,2,medium,M,5.0,4681.0,1
10374,F,Ship,3,5,143.0,2,low,M,8.0,4754.0,1
10375,D,Ship,4,1,258.0,3,low,F,10.0,4906.0,0
10376,F,Ship,4,3,216.0,2,low,M,4.0,5997.0,0
10377,A,Ship,4,3,169.0,3,low,F,8.0,4613.0,0
10378,B,Ship,4,3,165.0,2,low,M,2.0,5210.0,0
10379,C,Ship,4,4,245.0,3,medium,F,7.0,4480.0,1
10380,F,Ship,4,1,171.0,2,low,F,6.0,5719.0,1
10381,D,Ship,2,5,238.0,4,medium,M,9.0,4086.0,0
10382,F,Ship,4,2,265.0,3,medium,F,1.0,5385.0,0
10383,A,Ship,4,3,207.0,2,medium,M,5.0,4286.0,0
10384,B,Ship,3,4,257.0,3,medium,M,10.0,4670.0,1
10385,C,Ship,3,4,252.0,2,high,M,9.0,4278.0,0
10386,F,Road,5,5,272.0,2,low,F,4.0,5342.0,0
10387,D,Road,3,2,180.0,6,medium,M,3.0,5780.0,1
10388,F,Road,5,1,217.0,2,low,F,9.0,4345.0,0
10389,A,Road,3,1,149.0,3,medium,F,9.0,5952.0,1
10390,B,Road,4,5,185.0,2,low,M,6.0,4610.0,0
10391,C,Road,5,2,222.0,3,medium,M,10.0,5644.0,1
10392,F,Road,4,3,180.0,3,medium,M,4.0,5471.0,0
10393,D,Road,4,2,156.0,3,medium,M,1.0,4097.0,1
10394,F,Road,3,5,241.0,3,medium,M,10.0,5099.0,1
10395,A,Road,4,1,170.0,10,medium,F,3.0,5211.0,1
10396,B,Road,3,2,286.0,6,high,F,1.0,5035.0,1
10397,C,Road,3,4,232.0,5,medium,M,7.0,5653.0,1
10398,F,Road,5,2,171.0,3,low,M,6.0,4656.0,1
10399,D,Road,4,4,146.0,10,low,F,3.0,4152.0,1
10400,F,Road,4,2,189.0,10,medium,F,5.0,5470.0,0
10401,A,Road,2,1,235.0,3,high,M,8.0,4522.0,1
10402,B,Road,4,2,187.0,3,high,F,5.0,4897.0,1
10403,C,Road,3,5,166.0,3,high,F,5.0,5206.0,0
10404,F,Road,4,4,264.0,6,medium,F,6.0,1748.0,1
10405,D,Road,5,3,243.0,6,low,F,1.0,1856.0,0
10406,F,Road,5,2,245.0,5,low,F,9.0,1466.0,0
10407,A,Road,5,5,239.0,6,low,F,1.0,1984.0,0
10408,B,Flight,4,3,248.0,5,low,M,3.0,1093.0,0
10409,C,Flight,6,4,268.0,4,low,M,9.0,1793.0,0
10410,F,Flight,6,2,271.0,4,low,F,2.0,1893.0,1
10411,D,Flight,4,3,233.0,5,low,M,2.0,1079.0,0
10412,F,Flight,5,1,245.0,5,low,F,7.0,1092.0,0
10413,A,Flight,5,5,248.0,5,medium,M,8.0,1881.0,1
10414,B,Flight,5,1,234.0,5,medium,M,2.0,1030.0,1
10415,C,Flight,4,5,259.0,5,medium,M,2.0,1066.0,1
